Category,variable name,long_name,unit,CF standard_name,additional attributes ('O'ptional or 'M'andatory),SDN Param,SDN UoM
Meteorological,DEWT,Dew point temperature,degrees_C,dew_point_temperature,-,SDN:P01::CDEWZZ01,SDN:P06::UPAA
Meteorological,RELH,Relative humidity,%,relative_humidity,-,SDN:P01::CRELZZ01,SDN:P06::UPCT
Meteorological,ATMS,Atmospheric pressure at sea level,hPa,air_pressure_at_sea_level,-,SDN:P01::CAPAZZ01,SDN:P06::UPBB
Meteorological,ATMP,Atmospheric pressure at altitude,hPa,air_pressure,-,SDN:P01::CAPHZZ01,SDN:P06::UPBB
Meteorological,ATPT,Atmospheric pressure hourly tendency,hPa h-1,tendency_of_air_pressure,-,SDN:P01::APRESSTN,SDN:P06::HPAH
Meteorological,RVFL,River flow rate,m3 s-1,water_volume_transport_into_sea_water_from_rivers,-,SDN:P01::RFDSCH01,SDN:P06::CMPS
Meteorological,PRRT,Hourly precipitation rate (liquid water equivalent),mm h-1,lwe_precipitation_rate,-,SDN:P01::CPRRRG01,SDN:P06::MMPH
Meteorological,PRRD,Daily precipitation rate (liquid water equivalent),mm d-1,lwe_precipitation_rate,-,SDN:P01::CPRRRG01,SDN:P06::MMPD
Meteorological,SINC,Shortwave/solar incoming radiation,W m-2,surface_downwelling_shortwave_flux_in_air,-,SDN:P01::CSLRZZXX,SDN:P06::UFAA
Meteorological,LINC,Longwave/atmospheric incoming radiation,W m-2,surface_downwelling_longwave_flux_in_air,-,SDN:P01::LWRDZZ01,SDN:P06::UFAA
Meteorological,RDIN,Total incoming radiation,W m-2,surface_downwelling_radiative_flux_in_sea_water,-,SDN:P01:TLRDZZ01,SDN:P06::UFAA
Meteorological,NRAD,Net total incoming radiation,W m-2,surface_net_downward_radiative_flux,-,SDN:P01:NTLRDZ01,SDN:P06::UFAA
Meteorological,LGHT,Immerged incoming photosynthetic active radiation,µmol m-2 s-1,downwelling_photosynthetic_photon_flux_in_sea_water,-,SDN:P01::PARERXUD,SDN:P06::UMES
Meteorological,LGH4,Surface incoming photosynthetic active radiation,µmol m-2 s-1,surface_downwelling_photosynthetic_photon_flux_in_air,-,SDN:P01::PARERXSD,SDN:P06::UMES
